Unnamed: 0,Operator,Network Type,In Out Travelling,State Name,Call Dropped,Satisfactory,Poor Voice Quality,label
171,Airtel,4G,Outdoor,Bihar,2.043596730245232,71.5258855585831,26.430517711171664,Very Good
172,Airtel,4G,Outdoor,Chandigarh,10.0,70.0,20.0,Very Good
173,Airtel,4G,Outdoor,Chattisgarh,4.838709677419357,85.48387096774194,9.677419354838714,Excellent
174,Airtel,4G,Outdoor,Delhi,4.097035040431267,16.549865229110512,79.35309973045823,Inadequate
175,Airtel,4G,Outdoor,Goa,28.57142857142857,0.0,71.42857142857143,Inadequate
176,Airtel,4G,Outdoor,Gujarat,5.895196506550218,79.91266375545851,14.192139737991265,Very Good
177,Airtel,4G,Outdoor,Haryana,17.045454545454547,62.78409090909091,20.170454545454547,Very Good
178,Airtel,4G,Outdoor,Himachal Pradesh,15.789473684210524,51.31578947368421,32.89473684210527,Average
179,Airtel,4G,Outdoor,Jharkhand,17.307692307692307,25.0,57.69230769230769,Poor
180,Airtel,4G,Outdoor,Karnataka,9.83754512635379,63.989169675090245,26.17328519855596,Very Good
181,Airtel,4G,Outdoor,Kerala,3.6931818181818175,94.0340909090909,2.272727272727273,Excellent
182,Airtel,4G,Outdoor,Madhya Pradesh,14.705882352941178,41.17647058823529,44.11764705882353,Average
183,Airtel,4G,Outdoor,Maharashtra,3.7254901960784315,81.86274509803921,14.411764705882351,Excellent
184,Airtel,4G,Outdoor,Meghalaya,16.666666666666664,5.5555555555555545,77.7777777777778,Inadequate
185,Airtel,4G,Outdoor,Odisha,2.061855670103093,86.59793814432993,11.340206185567007,Excellent
186,Airtel,4G,Outdoor,Pondicherry,0.0,100.0,0.0,Excellent
187,Airtel,4G,Outdoor,Punjab,43.15789473684211,27.89473684210526,28.94736842105264,Poor
188,Airtel,4G,Outdoor,Rajasthan,5.405405405405406,24.324324324324326,70.27027027027027,Poor
189,Airtel,4G,Outdoor,Tamil Nadu,6.70391061452514,74.86033519553072,18.435754189944134,Very Good
190,Airtel,4G,Outdoor,Telangana,23.634881825590874,36.91931540342298,39.44580277098614,Poor
191,Airtel,4G,Outdoor,Tripura,0.0,20.0,80.0,Inadequate
192,Airtel,4G,Outdoor,Uttar Pradesh,6.697819314641744,46.72897196261682,46.57320872274144,Average
